Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,37,1.0,37.0,1.0
7,1,21,0.0,-16.0,-1.0
9,1,24,0.0,3.0,0.0
17,1,14,1.0,-10.0,1.0
2,2,30,3.0,30.0,3.0
7,2,18,0.0,-12.0,-3.0
9,2,21,0.0,3.0,0.0
17,2,10,0.0,-11.0,0.0
2,3,23,1.0,23.0,1.0
7,3,22,1.0,-1.0,0.0
9,3,12,0.0,-10.0,-1.0
17,3,16,1.0,4.0,1.0
2,5,10,3.0,10.0,3.0
7,5,13,0.0,3.0,-3.0
9,5,10,0.0,-3.0,0.0
17,5,11,2.0,1.0,2.0
2,6,13,3.0,13.0,3.0
7,6,19,2.0,6.0,-1.0
9,6,19,1.0,0.0,-1.0
17,6,16,1.0,-3.0,0.0
2,7,35,5.0,35.0,5.0
7,7,71,0.0,36.0,-5.0
9,7,21,0.0,-50.0,0.0
17,7,15,0.0,-6.0,0.0
2,8,32,2.0,32.0,2.0
7,8,22,1.0,-10.0,-1.0
9,8,20,0.0,-2.0,-1.0
17,8,20,2.0,0.0,2.0
2,9,35,2.0,35.0,2.0
7,9,58,1.0,23.0,-1.0
9,9,30,0.0,-28.0,-1.0
17,9,24,0.0,-6.0,0.0
2,10,25,1.0,25.0,1.0
7,10,15,0.0,-10.0,-1.0
9,10,13,1.0,-2.0,1.0
17,10,35,2.0,22.0,1.0
2,11,30,0.0,30.0,0.0
7,11,39,0.0,9.0,0.0
9,11,17,0.0,-22.0,0.0
17,11,29,1.0,12.0,1.0
2,12,16,1.0,16.0,1.0
7,12,31,1.0,15.0,0.0
9,12,32,0.0,1.0,-1.0
17,12,20,0.0,-12.0,0.0
2,13,3,0.0,3.0,0.0
7,13,9,2.0,6.0,2.0
9,13,27,0.0,18.0,-2.0
17,13,22,0.0,-5.0,0.0
2,14,19,0.0,19.0,0.0
7,14,10,0.0,-9.0,0.0
9,14,15,0.0,5.0,0.0
17,14,8,0.0,-7.0,0.0
2,15,5,1.0,5.0,1.0
7,15,7,0.0,2.0,-1.0
9,15,9,0.0,2.0,0.0
17,15,7,0.0,-2.0,0.0
2,16,2,1.0,2.0,1.0
7,16,8,0.0,6.0,-1.0
9,16,18,0.0,10.0,0.0
17,16,0,0.0,-18.0,0.0
2,17,41,3.0,41.0,3.0
7,17,16,1.0,-25.0,-2.0
9,17,34,1.0,18.0,0.0
17,17,17,1.0,-17.0,0.0
2,18,52,1.0,52.0,1.0
7,18,26,1.0,-26.0,0.0
9,18,27,1.0,1.0,0.0
17,18,15,0.0,-12.0,-1.0
2,19,5,0.0,5.0,0.0
7,19,13,0.0,8.0,0.0
9,19,13,0.0,0.0,0.0
17,19,13,0.0,0.0,0.0
2,20,47,2.0,47.0,2.0
7,20,45,0.0,-2.0,-2.0
9,20,51,0.0,6.0,0.0
17,20,43,1.0,-8.0,1.0
