Initiator,Receiver,EventTime,Correct
17,2,03:33,1
17,7,04:25,1
9,11,04:53,0
14,3,12:48,1
2,9,12:55,1
2,16,20:41,1
9,13,21:50,1
3,2,33:06:00,0
3,6,33:59:00,1
11,12,37:23:00,1
8,3,44:54:00,1
