Initiator,Receiver,EventTime,Correct
6,14,03:16,1
10,6,04:47,1
20,12,18:42,1
3,13,19:02,0
3,6,20:17,1
14,20,21:46,0
6,11,26:21:00,1
6,18,41:35:00,1
6,11,41:40:00,1
10,2,42:43:00,1
8,1,55:10:00,1
6,1,59:27:00,1
