Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,21,0.0,21.0,0.0
7,1,13,2.0,-8.0,2.0
9,1,18,0.0,5.0,-2.0
17,1,9,1.0,-9.0,1.0
2,2,38,3.0,38.0,3.0
7,2,26,1.0,-12.0,-2.0
9,2,15,0.0,-11.0,-1.0
17,2,16,1.0,1.0,1.0
2,3,19,1.0,19.0,1.0
7,3,28,1.0,9.0,0.0
9,3,34,1.0,6.0,0.0
17,3,11,1.0,-23.0,0.0
2,4,31,0.0,31.0,0.0
7,4,30,2.0,-1.0,2.0
9,4,30,2.0,0.0,0.0
17,4,24,1.0,-6.0,-1.0
2,5,10,0.0,10.0,0.0
7,5,19,1.0,9.0,1.0
9,5,13,0.0,-6.0,-1.0
17,5,10,1.0,-3.0,1.0
2,6,129,0.0,129.0,0.0
7,6,76,0.0,-53.0,0.0
9,6,69,1.0,-7.0,1.0
17,6,64,1.0,-5.0,0.0
2,7,61,4.0,61.0,4.0
7,7,49,1.0,-12.0,-3.0
9,7,37,0.0,-12.0,-1.0
17,7,33,1.0,-4.0,1.0
2,8,26,1.0,26.0,1.0
7,8,32,1.0,6.0,0.0
9,8,52,0.0,20.0,-1.0
17,8,37,2.0,-15.0,2.0
2,9,19,0.0,19.0,0.0
7,9,16,3.0,-3.0,3.0
9,9,17,1.0,1.0,-2.0
17,9,12,3.0,-5.0,2.0
2,10,47,2.0,47.0,2.0
7,10,54,0.0,7.0,-2.0
9,10,39,1.0,-15.0,1.0
17,10,33,1.0,-6.0,0.0
2,11,58,0.0,58.0,0.0
7,11,36,6.0,-22.0,6.0
9,11,43,0.0,7.0,-6.0
17,11,36,3.0,-7.0,3.0
2,12,35,1.0,35.0,1.0
7,12,27,1.0,-8.0,0.0
9,12,26,0.0,-1.0,-1.0
17,12,16,2.0,-10.0,2.0
2,13,11,0.0,11.0,0.0
7,13,12,1.0,1.0,1.0
9,13,11,1.0,-1.0,0.0
17,13,27,1.0,16.0,0.0
2,14,27,1.0,27.0,1.0
7,14,45,2.0,18.0,1.0
9,14,55,1.0,10.0,-1.0
17,14,46,3.0,-9.0,2.0
2,15,10,0.0,10.0,0.0
7,15,11,2.0,1.0,2.0
9,15,6,0.0,-5.0,-2.0
17,15,8,1.0,2.0,1.0
2,16,25,1.0,25.0,1.0
7,16,47,2.0,22.0,1.0
9,16,66,2.0,19.0,0.0
17,16,36,3.0,-30.0,1.0
2,17,13,2.0,13.0,2.0
7,17,11,3.0,-2.0,1.0
9,17,13,2.0,2.0,-1.0
17,17,4,5.0,-9.0,3.0
2,18,12,2.0,12.0,2.0
7,18,20,1.0,8.0,-1.0
9,18,19,0.0,-1.0,-1.0
17,18,15,3.0,-4.0,3.0
