Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,5,3.0,5.0,3.0
7,1,4,1.0,-1.0,-2.0
9,1,8,1.0,4.0,0.0
17,1,13,1.0,5.0,0.0
2,2,20,1.0,20.0,1.0
7,2,35,0.0,15.0,-1.0
9,2,30,3.0,-5.0,3.0
17,2,21,0.0,-9.0,-3.0
2,3,14,1.0,14.0,1.0
7,3,24,0.0,10.0,-1.0
9,3,31,0.0,7.0,0.0
17,3,29,0.0,-2.0,0.0
2,4,37,0.0,37.0,0.0
7,4,34,2.0,-3.0,2.0
9,4,43,0.0,9.0,-2.0
17,4,31,0.0,-12.0,0.0
2,5,11,0.0,11.0,0.0
7,5,12,1.0,1.0,1.0
9,5,11,1.0,-1.0,0.0
17,5,10,0.0,-1.0,-1.0
2,6,95,2.0,95.0,2.0
7,6,70,1.0,-25.0,-1.0
9,6,85,0.0,15.0,-1.0
17,6,118,0.0,33.0,0.0
2,7,114,3.0,114.0,3.0
7,7,71,2.0,-43.0,-1.0
9,7,67,1.0,-4.0,-1.0
17,7,68,1.0,1.0,0.0
2,8,42,2.0,42.0,2.0
7,8,48,1.0,6.0,-1.0
9,8,40,0.0,-8.0,-1.0
17,8,19,0.0,-21.0,0.0
2,9,7,0.0,7.0,0.0
7,9,17,0.0,10.0,0.0
9,9,15,0.0,-2.0,0.0
17,9,29,0.0,14.0,0.0
2,10,14,0.0,14.0,0.0
7,10,11,1.0,-3.0,1.0
9,10,15,0.0,4.0,-1.0
17,10,12,0.0,-3.0,0.0
2,11,31,1.0,31.0,1.0
7,11,37,1.0,6.0,0.0
9,11,46,0.0,9.0,-1.0
17,11,22,0.0,-24.0,0.0
2,12,12,0.0,12.0,0.0
7,12,17,0.0,5.0,0.0
9,12,26,0.0,9.0,0.0
17,12,15,0.0,-11.0,0.0
2,13,33,3.0,33.0,3.0
7,13,57,0.0,24.0,-3.0
9,13,61,0.0,4.0,0.0
17,13,51,0.0,-10.0,0.0
2,14,23,0.0,23.0,0.0
7,14,31,0.0,8.0,0.0
9,14,33,0.0,2.0,0.0
17,14,66,0.0,33.0,0.0
2,15,10,1.0,10.0,1.0
7,15,7,1.0,-3.0,0.0
9,15,6,2.0,-1.0,1.0
17,15,6,0.0,0.0,-2.0
2,16,53,0.0,53.0,0.0
7,16,43,0.0,-10.0,0.0
9,16,33,0.0,-10.0,0.0
17,16,26,0.0,-7.0,0.0
2,17,20,1.0,20.0,1.0
7,17,27,1.0,7.0,0.0
9,17,53,2.0,26.0,1.0
17,17,53,0.0,0.0,-2.0
