Initiator,Receiver,EventTime,Correct
12,9,01:59,1
18,9,03:28,1
15,5,03:45,1
1,19,06:43,1
17,20,09:26,1
1,12,09:59,1
12,20,11:04,1
7,12,14:52,0
16,12,21:47,1
8,9,24:09:00,1
18,9,24:58:00,0
12,8,25:34:00,1
7,18,26:18:00,1
16,8,29:15:00,1
8,6,31:52:00,1
12,13,34:25:00,1
19,6,36:17:00,1
8,6,40:28:00,1
5,8,42:45:00,1
2,3,45:53:00,0
12,8,53:27:00,1
9,17,53:29:00,1
19,7,54:08:00,1
20,18,54:32:00,1
8,20,58:57:00,1
