Initiator,Receiver,EventTime,Correct
4,16,06:11,1
7,11,06:13,1
5,2,07:28,0
12,7,07:37,1
16,6,09:12,1
2,3,10:59,1
15,1,12:27,0
10,12,12:28,0
4,12,13:48,1
4,6,14:54,1
9,2,14:58,1
2,15,15:13,1
7,5,18:47,0
1,14,20:19,1
10,5,20:50,0
1,11,20:52,0
15,14,22:58,1
13,4,23:20,0
16,9,24:11:00,1
3,7,25:09:00,0
12,15,25:13:00,1
15,9,26:19:00,0
7,4,27:23:00,1
15,12,27:47:00,1
9,11,28:02:00,1
