Initiator,Receiver,EventTime,Correct
11,7,02:24,1
16,4,02:35,1
17,16,02:45,1
3,1,06:19,1
7,17,11:09,1
2,17,12:06,0
17,7,18:48,1
5,16,20:03,0
7,14,20:18,1
7,11,27:46:00,1
4,17,28:51:00,1
13,3,29:18:00,1
17,10,30:35:00,1
17,16,32:32:00,1
6,5,35:34:00,0
7,6,35:56:00,1
8,11,36:59:00,1
14,7,38:07:00,0
16,1,39:10:00,1
14,3,41:19:00,1
13,9,45:39:00,0
17,11,47:37:00,1
3,1,49:36:00,1
17,8,51:49:00,1
3,11,57:01:00,1
