Initiator,Receiver,EventTime,Correct
11,14,02:25,1
4,5,02:30,1
11,5,11:29,1
14,7,13:35,1
3,18,19:56,1
9,8,20:20,1
17,11,23:57,0
9,4,25:48:00,1
4,9,26:55:00,1
16,8,27:28:00,0
5,18,31:18:00,0
16,2,33:03:00,0
12,11,37:23:00,1
8,14,41:02:00,1
14,18,42:41:00,0
5,11,44:59:00,1
5,1,46:43:00,1
15,14,47:47:00,1
6,17,48:59:00,0
8,7,49:59:00,1
16,6,50:18:00,1
14,3,51:46:00,0
3,16,55:14:00,1
5,15,57:49:00,1
9,3,59:27:00,1
