Initiator,Receiver,EventTime,Correct
2,16,04:26,1
1,9,05:15,1
1,13,05:17,1
1,13,08:13,0
15,18,26:51:00,1
13,15,28:56:00,0
13,18,28:56:00,1
1,15,29:44:00,1
11,18,31:08:00,1
18,11,31:14:00,0
6,3,34:07:00,1
6,11,34:36:00,1
9,13,36:10:00,0
13,15,37:25:00,1
1,13,37:40:00,1
11,7,39:22:00,1
9,18,39:43:00,0
16,15,39:45:00,0
8,18,43:40:00,1
8,16,43:45:00,1
14,8,46:27:00,1
6,15,50:10:00,0
2,14,54:12:00,0
1,16,58:52:00,1
1,13,59:13:00,1
