Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,29,1.0,29.0,1.0
7,1,37,0.0,8.0,-1.0
9,1,18,0.0,-19.0,0.0
17,1,15,1.0,-3.0,1.0
2,2,16,1.0,16.0,1.0
7,2,15,0.0,-1.0,-1.0
9,2,12,0.0,-3.0,0.0
17,2,12,2.0,0.0,2.0
2,3,11,2.0,11.0,2.0
7,3,11,1.0,0.0,-1.0
9,3,9,1.0,-2.0,0.0
17,3,25,3.0,16.0,2.0
2,4,28,1.0,28.0,1.0
7,4,24,0.0,-4.0,-1.0
9,4,20,0.0,-4.0,0.0
17,4,15,1.0,-5.0,1.0
2,5,8,1.0,8.0,1.0
7,5,2,0.0,-6.0,-1.0
9,5,5,0.0,3.0,0.0
17,5,1,1.0,-4.0,1.0
2,6,19,1.0,19.0,1.0
7,6,11,1.0,-8.0,0.0
9,6,8,0.0,-3.0,-1.0
17,6,6,1.0,-2.0,1.0
2,7,26,1.0,26.0,1.0
7,7,21,0.0,-5.0,-1.0
9,7,17,0.0,-4.0,0.0
17,7,11,0.0,-6.0,0.0
2,8,39,3.0,39.0,3.0
7,8,31,1.0,-8.0,-2.0
9,8,25,0.0,-6.0,-1.0
17,8,36,0.0,11.0,0.0
2,9,25,3.0,25.0,3.0
7,9,18,0.0,-7.0,-3.0
9,9,12,1.0,-6.0,1.0
17,9,9,1.0,-3.0,0.0
2,10,6,0.0,6.0,0.0
7,10,33,0.0,27.0,0.0
9,10,16,1.0,-17.0,1.0
17,10,17,0.0,1.0,-1.0
2,11,8,2.0,8.0,2.0
7,11,10,1.0,2.0,-1.0
9,11,7,0.0,-3.0,-1.0
17,11,13,4.0,6.0,4.0
2,12,22,0.0,22.0,0.0
7,12,9,0.0,-13.0,0.0
9,12,11,0.0,2.0,0.0
17,12,8,1.0,-3.0,1.0
2,13,8,0.0,8.0,0.0
7,13,21,1.0,13.0,1.0
9,13,10,0.0,-11.0,-1.0
17,13,13,0.0,3.0,0.0
2,14,25,0.0,25.0,0.0
7,14,17,1.0,-8.0,1.0
9,14,12,0.0,-5.0,-1.0
17,14,3,0.0,-9.0,0.0
2,15,18,0.0,18.0,0.0
7,15,30,0.0,12.0,0.0
9,15,30,1.0,0.0,1.0
17,15,30,1.0,0.0,0.0
2,16,108,0.0,108.0,0.0
7,16,81,0.0,-27.0,0.0
9,16,73,0.0,-8.0,0.0
17,16,74,0.0,1.0,0.0
