Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,38,3.0,38.0,3.0
7,1,31,4.0,-7.0,1.0
9,1,34,0.0,3.0,-4.0
17,1,24,0.0,-10.0,0.0
2,2,33,0.0,33.0,0.0
7,2,46,1.0,13.0,1.0
9,2,31,0.0,-15.0,-1.0
17,2,31,1.0,0.0,1.0
2,3,45,2.0,45.0,2.0
7,3,50,1.0,5.0,-1.0
9,3,41,0.0,-9.0,-1.0
17,3,26,0.0,-15.0,0.0
2,4,29,3.0,29.0,3.0
7,4,98,2.0,69.0,-1.0
9,4,73,0.0,-25.0,-2.0
17,4,54,0.0,-19.0,0.0
2,5,34,0.0,34.0,0.0
7,5,58,0.0,24.0,0.0
9,5,28,0.0,-30.0,0.0
17,5,31,0.0,3.0,0.0
2,6,43,2.0,43.0,2.0
7,6,58,0.0,15.0,-2.0
9,6,34,0.0,-24.0,0.0
17,6,32,0.0,-2.0,0.0
2,8,58,2.0,58.0,2.0
7,8,46,3.0,-12.0,1.0
9,8,40,0.0,-6.0,-3.0
17,8,22,1.0,-18.0,1.0
2,9,29,1.0,29.0,1.0
7,9,107,1.0,78.0,0.0
9,9,64,0.0,-43.0,-1.0
17,9,51,3.0,-13.0,3.0
2,10,32,2.0,32.0,2.0
7,10,63,1.0,31.0,-1.0
9,10,56,0.0,-7.0,-1.0
17,10,60,0.0,4.0,0.0
2,11,15,0.0,15.0,0.0
7,11,51,0.0,36.0,0.0
9,11,41,0.0,-10.0,0.0
17,11,37,0.0,-4.0,0.0
2,12,34,1.0,34.0,1.0
7,12,45,0.0,11.0,-1.0
9,12,27,0.0,-18.0,0.0
17,12,28,0.0,1.0,0.0
2,13,9,2.0,9.0,2.0
7,13,17,1.0,8.0,-1.0
9,13,30,0.0,13.0,-1.0
17,13,12,0.0,-18.0,0.0
2,14,80,0.0,80.0,0.0
7,14,93,0.0,13.0,0.0
9,14,76,0.0,-17.0,0.0
17,14,78,0.0,2.0,0.0
2,15,53,0.0,53.0,0.0
7,15,41,1.0,-12.0,1.0
9,15,40,0.0,-1.0,-1.0
17,15,31,2.0,-9.0,2.0
2,16,13,0.0,13.0,0.0
7,16,18,4.0,5.0,4.0
9,16,15,0.0,-3.0,-4.0
17,16,11,0.0,-4.0,0.0
2,17,44,2.0,44.0,2.0
7,17,56,1.0,12.0,-1.0
9,17,34,0.0,-22.0,-1.0
17,17,15,0.0,-19.0,0.0
2,18,57,0.0,57.0,0.0
7,18,96,0.0,39.0,0.0
9,18,87,0.0,-9.0,0.0
17,18,59,1.0,-28.0,1.0
2,28,42,0.0,42.0,0.0
7,28,40,0.0,-2.0,0.0
9,28,50,0.0,10.0,0.0
17,28,23,0.0,-27.0,0.0
