Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,13,1.0,13.0,1.0
7,1,28,2.0,15.0,1.0
9,1,22,0.0,-6.0,-2.0
17,1,35,1.0,13.0,1.0
2,2,8,4.0,8.0,4.0
7,2,12,2.0,4.0,-2.0
9,2,11,0.0,-1.0,-2.0
17,2,10,2.0,-1.0,2.0
2,3,36,4.0,36.0,4.0
7,3,36,2.0,0.0,-2.0
9,3,24,0.0,-12.0,-2.0
17,3,44,0.0,20.0,0.0
2,4,26,0.0,26.0,0.0
7,4,22,5.0,-4.0,5.0
9,4,24,0.0,2.0,-5.0
17,4,15,0.0,-9.0,0.0
2,5,42,4.0,42.0,4.0
7,5,49,1.0,7.0,-3.0
9,5,30,1.0,-19.0,0.0
17,5,21,1.0,-9.0,0.0
2,6,29,1.0,29.0,1.0
7,6,21,1.0,-8.0,0.0
9,6,12,1.0,-9.0,0.0
17,6,18,2.0,6.0,1.0
2,7,20,1.0,20.0,1.0
7,7,12,1.0,-8.0,0.0
9,7,4,0.0,-8.0,-1.0
17,7,16,2.0,12.0,2.0
2,8,15,0.0,15.0,0.0
7,8,14,1.0,-1.0,1.0
9,8,7,1.0,-7.0,0.0
17,8,2,2.0,-5.0,1.0
2,9,11,1.0,11.0,1.0
7,9,13,2.0,2.0,1.0
9,9,5,1.0,-8.0,-1.0
17,9,8,0.0,3.0,-1.0
2,10,2,0.0,2.0,0.0
7,10,5,1.0,3.0,1.0
9,10,4,0.0,-1.0,-1.0
17,10,6,1.0,2.0,1.0
2,11,63,1.0,63.0,1.0
7,11,52,1.0,-11.0,0.0
9,11,26,0.0,-26.0,-1.0
17,11,19,3.0,-7.0,3.0
2,12,27,1.0,27.0,1.0
7,12,33,3.0,6.0,2.0
9,12,29,0.0,-4.0,-3.0
17,12,19,2.0,-10.0,2.0
2,13,8,1.0,8.0,1.0
7,13,15,2.0,7.0,1.0
9,13,12,0.0,-3.0,-2.0
17,13,9,0.0,-3.0,0.0
2,14,65,4.0,65.0,4.0
7,14,60,1.0,-5.0,-3.0
9,14,48,0.0,-12.0,-1.0
17,14,74,0.0,26.0,0.0
2,16,65,0.0,65.0,0.0
7,16,29,2.0,-36.0,2.0
9,16,29,0.0,0.0,-2.0
17,16,28,2.0,-1.0,2.0
2,17,41,3.0,41.0,3.0
7,17,41,2.0,0.0,-1.0
9,17,18,0.0,-23.0,-2.0
17,17,28,0.0,10.0,0.0
2,18,15,3.0,15.0,3.0
7,18,7,3.0,-8.0,0.0
9,18,8,0.0,1.0,-3.0
17,18,27,0.0,19.0,0.0
2,19,21,2.0,21.0,2.0
7,19,36,1.0,15.0,-1.0
9,19,29,0.0,-7.0,-1.0
17,19,45,0.0,16.0,0.0
2,20,45,2.0,45.0,2.0
7,20,36,3.0,-9.0,1.0
9,20,28,0.0,-8.0,-3.0
17,20,8,0.0,-20.0,0.0
2,21,28,1.0,28.0,1.0
7,21,43,0.0,15.0,-1.0
9,21,15,2.0,-28.0,2.0
17,21,26,0.0,11.0,-2.0
