Initiator,Receiver
17,11
4,1
12,17
5,2
13,12
1,15
7,4
13,14
2,14
1,13
9,1
17,11
12,3
6,15
6,7
7,8
13,9
17,4
6,10
17,18
4,14
16,2
18,14
